                                                       10 Jan 2017 13:08:04
 AGI Educational Alliance Partner
Satellite-FIREBIRD_4_40378:  LLA Position


     Time (ISO-YMD)        Lat (deg)    Lon (deg)     Alt (km)       Ldip  
2015-02-02T06:13:05.000       62.624       14.624    654.312719    4.834098
2015-02-02T06:13:06.000       62.566       14.575    654.379980    4.819917
2015-02-02T06:13:07.000       62.509       14.525    654.447118    4.805789
2015-02-02T06:13:08.000       62.452       14.476    654.514133    4.791714
2015-02-02T06:13:09.000       62.395       14.427    654.581026    4.777693
2015-02-02T06:13:10.000       62.337       14.378    654.647796    4.763725
2015-02-02T06:13:11.000       62.280       14.330    654.714443    4.749810
2015-02-02T06:13:12.000       62.223       14.281    654.780968    4.735948
2015-02-02T06:13:13.000       62.165       14.233    654.847369    4.722139
2015-02-02T06:13:14.000       62.108       14.185    654.913648    4.708382
2015-02-02T06:13:15.000       62.051       14.137    654.979804    4.694678
2015-02-02T06:13:16.000       61.993       14.089    655.045836    4.681026
2015-02-02T06:13:17.000       61.936       14.041    655.111747    4.667427
2015-02-02T06:13:18.000       61.878       13.994    655.177534    4.653879
2015-02-02T06:13:19.000       61.821       13.946    655.243198    4.640383
2015-02-02T06:13:20.000       61.764       13.899    655.308739    4.626939
2015-02-02T06:13:21.000       61.706       13.852    655.374157    4.613546
2015-02-02T06:13:22.000       61.649       13.805    655.439452    4.600204
2015-02-02T06:13:23.000       61.591       13.759    655.504624    4.586914
2015-02-02T06:13:24.000       61.534       13.712    655.569674    4.573675
2015-02-02T06:13:25.000       61.476       13.666    655.634600    4.560487
2015-02-02T06:13:26.000       61.419       13.619    655.699402    4.547349
2015-02-02T06:13:27.000       61.361       13.573    655.764082    4.534262
2015-02-02T06:13:28.000       61.304       13.527    655.828639    4.521226
2015-02-02T06:13:29.000       61.246       13.482    655.893073    4.508239
2015-02-02T06:13:30.000       61.189       13.436    655.957383    4.495303
2015-02-02T06:13:31.000       61.131       13.391    656.021570    4.482417
2015-02-02T06:13:32.000       61.074       13.345    656.085634    4.469580
2015-02-02T06:13:33.000       61.016       13.300    656.149575    4.456793
2015-02-02T06:13:34.000       60.958       13.255    656.213393    4.444056
2015-02-02T06:13:35.000       60.901       13.210    656.277087    4.431367
2015-02-02T06:13:36.000       60.843       13.166    656.340658    4.418728
2015-02-02T06:13:37.000       60.786       13.121    656.404106    4.406138
2015-02-02T06:13:38.000       60.728       13.077    656.467431    4.393596
2015-02-02T06:13:39.000       60.670       13.032    656.530632    4.381103
2015-02-02T06:13:40.000       60.613       12.988    656.593710    4.368659
2015-02-02T06:13:41.000       60.555       12.944    656.656665    4.356263
2015-02-02T06:13:42.000       60.497       12.900    656.719496    4.343915
2015-02-02T06:13:43.000       60.440       12.857    656.782204    4.331614
2015-02-02T06:13:44.000       60.382       12.813    656.844788    4.319362
2015-02-02T06:13:45.000       60.324       12.770    656.907249    4.307157
2015-02-02T06:13:46.000       60.266       12.726    656.969587    4.295000
2015-02-02T06:13:47.000       60.209       12.683    657.031801    4.282890
2015-02-02T06:13:48.000       60.151       12.640    657.093892    4.270827
2015-02-02T06:13:49.000       60.093       12.597    657.155859    4.258812
2015-02-02T06:13:50.000       60.035       12.554    657.217703    4.246842
2015-02-02T06:13:51.000       59.978       12.512    657.279423    4.234920
2015-02-02T06:13:52.000       59.920       12.469    657.341020    4.223044
2015-02-02T06:13:53.000       59.862       12.427    657.402494    4.211214
2015-02-02T06:13:54.000       59.804       12.385    657.463843    4.199431
2015-02-02T06:13:55.000       59.746       12.343    657.525070    4.187693
