                                                       10 Jan 2017 13:08:04
 AGI Educational Alliance Partner
Satellite-FIREBIRD_4_40378:  LLA Position


     Time (ISO-YMD)        Lat (deg)    Lon (deg)     Alt (km)       Ldip  
-----------------------    ---------    ---------    ----------    --------
2015-02-02T06:11:55.000       66.589       18.599    649.301159    5.967531
2015-02-02T06:11:56.000       66.533       18.534    649.376939    5.949313
2015-02-02T06:11:57.000       66.477       18.469    649.452598    5.931155
2015-02-02T06:11:58.000       66.421       18.405    649.528137    5.913056
2015-02-02T06:11:59.000       66.365       18.341    649.603555    5.895017
2015-02-02T06:12:00.000       66.309       18.277    649.678852    5.877039
2015-02-02T06:12:01.000       66.253       18.213    649.754029    5.859120
2015-02-02T06:12:02.000       66.197       18.150    649.829085    5.841260
2015-02-02T06:12:03.000       66.141       18.087    649.904020    5.823461
2015-02-02T06:12:04.000       66.084       18.024    649.978835    5.805721
2015-02-02T06:12:05.000       66.028       17.962    650.053528    5.788041
2015-02-02T06:12:06.000       65.972       17.899    650.128101    5.770421
2015-02-02T06:12:07.000       65.916       17.837    650.202553    5.752860
2015-02-02T06:12:08.000       65.860       17.775    650.276884    5.735359
2015-02-02T06:12:09.000       65.803       17.714    650.351093    5.717918
2015-02-02T06:12:10.000       65.747       17.653    650.425182    5.700536
2015-02-02T06:12:11.000       65.691       17.591    650.499150    5.683214
2015-02-02T06:12:12.000       65.634       17.531    650.572996    5.665951
2015-02-02T06:12:13.000       65.578       17.470    650.646722    5.648748
2015-02-02T06:12:14.000       65.522       17.410    650.720326    5.631604
2015-02-02T06:12:15.000       65.465       17.350    650.793809    5.614520
2015-02-02T06:12:16.000       65.409       17.290    650.867171    5.597494
2015-02-02T06:12:17.000       65.352       17.230    650.940411    5.580529
2015-02-02T06:12:18.000       65.296       17.171    651.013530    5.563622
2015-02-02T06:12:19.000       65.240       17.112    651.086528    5.546774
2015-02-02T06:12:20.000       65.183       17.053    651.159405    5.529986
2015-02-02T06:12:21.000       65.127       16.994    651.232160    5.513256
2015-02-02T06:12:22.000       65.070       16.936    651.304793    5.496585
2015-02-02T06:12:23.000       65.014       16.878    651.377305    5.479974
2015-02-02T06:12:24.000       64.957       16.820    651.449696    5.463421
2015-02-02T06:12:25.000       64.900       16.762    651.521965    5.446926
2015-02-02T06:12:26.000       64.844       16.705    651.594112    5.430490
2015-02-02T06:12:27.000       64.787       16.647    651.666138    5.414113
2015-02-02T06:12:28.000       64.731       16.590    651.738042    5.397794
2015-02-02T06:12:29.000       64.674       16.533    651.809825    5.381534
2015-02-02T06:12:30.000       64.617       16.477    651.881486    5.365331
2015-02-02T06:12:31.000       64.561       16.420    651.953025    5.349187
2015-02-02T06:12:32.000       64.504       16.364    652.024442    5.333101
2015-02-02T06:12:33.000       64.447       16.308    652.095738    5.317073
2015-02-02T06:12:34.000       64.390       16.253    652.166911    5.301103
2015-02-02T06:12:35.000       64.334       16.197    652.237963    5.285191
2015-02-02T06:12:36.000       64.277       16.142    652.308893    5.269336
2015-02-02T06:12:37.000       64.220       16.087    652.379701    5.253539
2015-02-02T06:12:38.000       64.163       16.032    652.450388    5.237799
2015-02-02T06:12:39.000       64.106       15.977    652.520952    5.222116
2015-02-02T06:12:40.000       64.050       15.923    652.591394    5.206491
2015-02-02T06:12:41.000       63.993       15.868    652.661714    5.190923
2015-02-02T06:12:42.000       63.936       15.814    652.731912    5.175412
2015-02-02T06:12:43.000       63.879       15.760    652.801988    5.159958
2015-02-02T06:12:44.000       63.822       15.707    652.871942    5.144560
2015-02-02T06:12:45.000       63.765       15.653    652.941774    5.129219
2015-02-02T06:12:46.000       63.708       15.600    653.011483    5.113935
2015-02-02T06:12:47.000       63.651       15.547    653.081071    5.098707
2015-02-02T06:12:48.000       63.594       15.494    653.150536    5.083535
2015-02-02T06:12:49.000       63.537       15.441    653.219879    5.068420
2015-02-02T06:12:50.000       63.480       15.389    653.289100    5.053360
2015-02-02T06:12:51.000       63.423       15.337    653.358198    5.038357
2015-02-02T06:12:52.000       63.366       15.285    653.427174    5.023409
2015-02-02T06:12:53.000       63.309       15.233    653.496028    5.008516
2015-02-02T06:12:54.000       63.252       15.181    653.564759    4.993680
2015-02-02T06:12:55.000       63.195       15.129    653.633368    4.978898
2015-02-02T06:12:56.000       63.138       15.078    653.701854    4.964172
2015-02-02T06:12:57.000       63.081       15.027    653.770218    4.949501
2015-02-02T06:12:58.000       63.024       14.976    653.838460    4.934885
2015-02-02T06:12:59.000       62.967       14.925    653.906579    4.920323
2015-02-02T06:13:00.000       62.910       14.875    653.974575    4.905817
2015-02-02T06:13:01.000       62.852       14.824    654.042449    4.891365
2015-02-02T06:13:02.000       62.795       14.774    654.110201    4.876967
2015-02-02T06:13:03.000       62.738       14.724    654.177829    4.862623
2015-02-02T06:13:04.000       62.681       14.674    654.245336    4.848334
